No,Implementation Choices for Key Activities ,Company,Description
64,Design and manufacture seats that discourage seat hogging ,McDonalds,
65,Design and manufacture a diversity of Flavors ,"Starbucks, Nespresso, Starbucks, Red Bull",
66,"Design, build and manage Self-servicing bicycle stands ",JCDeCaux,
67,Design fine grain tasks so that training becomes easy ,Ford,
68,Design processes and tools for constant improvement ,Wipro,
69,Develop / Adapt an auction system ,"Price Line, Ocean Tomo, My Hammer",
70,Develop a library of Predefine shoe lasts ,Adidas,
71,Develop a library of Chip designs ,ARM,
72,Develop a library of IP ,Cadence,
73,Develop a recommendation system ,Amazon,
74,Develop solutions that help enterprise customers ,SAP,
75,Design and develop a drag and drop interfaceÿ for assigning location to new routes ,Schindler,
76,Display digital advertising in airports ,JCDeCaux,
77,Eliminate overburden on equipment and people ? Muri ,Toyota,
78,Eliminate unevenness or irregularities ? Heijunka ? reduce Mura ,Toyota,
79,Eliminate waste ? Muda ,Toyota,
80,Embed Anti-loss device ,Davek Umbrella,
81,Focus on top 1000 popular products in every store ,Tesco,
82,Get customer preferences by word of mouth (Sales people) ,Zara, 
83,Get proprietary IP adopted as a standard ,IBM,
84,Give customers fewer options ,Lidl,"1000 and not 10,000"
85,Have backup arrangements for handling repair or overbooking ,NetJets,
86,Make home delivery ,"IKEA, My Muesli",
87,Implement lean manufacturing ,"Porsche, Toyota",
88,Improve employee productivity ,Ryan Air,
89,Increase sales by refilling popular and new goods twice a week ,Zara,
90,Introduce new features - search Engine for hiring managers ,LinkedIn,
91,Introduce new features - listing user profiles ,LinkedIn,
92,Introduce new features - groups and partners ,LinkedIn,
93,Introduce new features - video tutorial for user of Lynda. Com ,LinkedIn,
94,Introduce new features - who has been viewing ,LinkedIn,
95,Introduce new features - people you may know ,LinkedIn,
96,Introduce new features - apply for job within a community ,LinkedIn,
97,Introduce new programmes -ÿ I-Prize competition ,"CISCO, Abbott labs",
98,Let customers create content ,"Twitter, Wikipedia",
99,Limit the number of design reviews and changes ,Zara,
100,Logistics to deliver same day in selected cases ,Amazon,
101,Make Accessories and Add-ons ,"Mercedes, Harley Davidson",
102,Make it economical for franchisees to open stores ,Subway,
103,Match offering to a customer ,Harley,
104,Match music to a runner?s pace ,Spotify,
105,Match video summary to a preferred music ,Muvee Technologies,
106,Manufacture merchandise ,"Disney, 50 shades of gray",
107,Minimize production quantity for each type ,Zara,
108,Moderate design choices ,Threadless,
109,Motivate employees and treat them fairly ,Wipro,
110,Offer consulting services ,SAP,
111,Offer free access to streamed music limited by number of times or number of hours / days and progressively reduce the time and number of accessesÿ ,Spotify,
112,Offer free add-ons - Wi-Fi ,Starbucks,
113,Offer free add-ons - Couches and books ,Starbucks,
114,Offer free add-ons - Air-conditioned environment ,Starbucks,
115,Offer free add-ons - Good customer service ,BMW,
116,Offer free add-ons - High quality VOIP ,Skype,
117,Offer free add-ons - In store trial ,Nespresso,
118,Offer free add-ons -Maintenance for a fee ,SAP,
119,Offer multiple options - Payment ,PayPal,
120,Offer multiple options - Plurality of designs ,Swatch,
121,Offer multiple options - 31 shows since inception ,Cirque de Soleil,
122,Offer post sales delivery services ,IKEA,
123,Offer post sales assembling services ,IKEA,
124,Offer presales design services ,IKEA,
125,Offer technical education as a value added service ,"Festo Didactic, Sennheiser",
126,Offer toys and Happy Meals to attract children ,McDonalds,
127,Offer upgrades for a fee ,SAP, 
128,Offer unlimited consumption ,Netflix,
129,Offer unlimited undo history ,Dropbox,
130,Offer volume discounts ,Intel,
131,Open-source unmonetizable resources ,IBM,
132,Optimize Supply chain ,McDonalds,
133,Optimize (Resource) Superintendent scheduling ,Schindler,
134,Out-licensing resources ,IBM,
135,Outsource R&D ,"Mondo Biotech, P&G",
136,Outsource non-IP laden activities - Airport Handling Services ,Ryan Air,
137,Outsource non-IP laden activities - Network management to Ericsson ,Sprint,
138,Preload software ,Dell,
139,Print one copy at a time ,Personal NOVEL,
140,Produce own content ,Netflix,
141,Produceÿ products for women ,Levis,
142,Reduce number of parts (including casing) required to a minimum ,Swatch,51 in the case
143,Reduce number of times one can use / access a resource ,Spotify,
144,Reduce weight ,Swatch,plastic in place of metal
145,Reduce vertically integrated supply chain cycle time ,Zara,
146,Run campaigns - Beÿ a Marlboro man ,Philip Morris,
147,Sell to small workshops through personal relationships ,Wurth,
148,Set up a store within a store ,"Bosch, Nespresso",
149,Source from sustainable producers ,Tchibo,
150,Standardize processes across all stores ,"McDonalds, Ford",
151,Standardize components ,Ford,
152,Start a new line of business ,"IBM, Business consulting group",
153,Synchronized engineering ,Porsche,
154,Train Sales peopleÿ to elicit and upload input from customers ,Zara,
155,Train Sales peopleÿ to tell interesting stories ,Tupperware,
156,Train Sales peopleÿ on customer intimacy ,Starbucks,
157,Train staff for offering personalized service ,NetJets,
158,Turn a phone number into a button ,Skype,
